iter	Passed	Remaining
409	4569	6843
410	4581	6832
411	4593	6822
412	4604	6811
413	4614	6799
414	4625	6787
415	4636	6775
416	4647	6764
417	4657	6752
418	4667	6740
419	4678	6728
420	4689	6716
421	4700	6704
422	4711	6694
423	4721	6681
424	4732	6669
425	4744	6660
426	4756	6650
427	4766	6637
428	4778	6627
429	4787	6613
430	4797	6601
431	4808	6589
432	4819	6577
433	4831	6568
434	4842	6556
435	4851	6542
436	4860	6529
437	4871	6517
438	4881	6505
439	4892	6493
440	4902	6481
441	4911	6467
442	4922	6456
443	4932	6443
444	4944	6433
445	4955	6422
446	4968	6413
447	4981	6404
448	4992	6394
449	5003	6381
450	5011	6366
451	5022	6355
452	5031	6342
453	5041	6330
454	5051	6317
455	5061	6304
456	5074	6295
457	5085	6285
458	5095	6272
459	5106	6260
460	5117	6249
461	5126	6235
462	5136	6223
463	5145	6209
464	5155	6197
465	5166	6186
466	5178	6177
467	5190	6166
468	5199	6153
469	5210	6141
470	5222	6131
471	5232	6119
472	5242	6107
473	5253	6096
474	5265	6085
475	5275	6073
476	5288	6065
477	5300	6054
478	5310	6041
479	5320	6030
480	5331	6018
481	5340	6005
482	5351	5994
483	5363	5983
484	5374	5972
485	5386	5962
486	5396	5951
487	5405	5937
488	5416	5925
489	5425	5912
490	5435	5900
491	5446	5889
492	5457	5877
493	5468	5866
494	5479	5855
495	5489	5844
496	5500	5832
497	5510	5819
498	5519	5807
499	5530	5795
500	5540	5783
501	5551	5772
502	5561	5760
503	5570	5747
504	5584	5738
505	5597	5730
506	5609	5719
507	5619	5707
508	5628	5694
509	5638	5682
510	5647	5669
511	5657	5657
512	5667	5645
513	5678	5634
514	5689	5622
515	5700	5612
516	5712	5601
517	5723	5590
518	5733	5578
519	5744	5567
520	5754	5556
521	5764	5543
522	5775	5532
523	5785	5520
524	5797	5510
525	5811	5501
526	5822	5491
527	5830	5477
528	5841	5466
529	5853	5456
530	5863	5443
531	5873	5431
532	5882	5419
533	5892	5407
534	5903	5396
535	5913	5384
536	5923	5372
537	5933	5359
538	5942	5347
539	5953	5336
540	5965	5325
541	5974	5313
542	5987	5303
543	5997	5291
544	6009	5281
545	6027	5276
546	6059	5284
547	6078	5279
548	6094	5273
549	6108	5264
550	6119	5253
551	6128	5240
552	6139	5228
553	6150	5217
554	6161	5206
555	6170	5193
556	6181	5182
557	6192	5171
558	6203	5160
559	6214	5149
560	6227	5139
561	6238	5128
562	6249	5117
563	6259	5105
564	6270	5093
565	6282	5083
566	6292	5071
567	6302	5059
568	6315	5049
569	6326	5039
570	6336	5027
571	6347	5015
572	6356	5003
573	6367	4992
574	6379	4981
575	6389	4969
576	6400	4958
577	6413	4949
578	6427	4940
579	6438	4929
580	6449	4917
581	6460	4906
582	6470	4894
583	6480	4882
584	6491	4871
585	6500	4859
586	6511	4847
587	6521	4835
588	6533	4825
589	6544	4814
590	6553	4801
591	6565	4790
592	6576	4779
593	6586	4767
594	6596	4756
